Ind	Gene	N	Df	Dist	LogP	Pval	BF	FDR	Y
Samp1	ENSG00000121454.5	762	18	49.339224765635	-9.26218621590031	9.49475222936266e-05	0.0723500119877435	0.188110031168133	outlier
Samp2	ENSG00000121454.5	762	11	29.0319003492713	-6.09939172166412	0.00224423242234733	1	1	outlier
Samp4	ENSG00000121454.5	762	15	42.3924591615389	-8.53980460163096	0.000195528462357175	0.148992688316167	0.317391987295364	outlier
Samp11	ENSG00000121454.5	762	11	44.7148481853852	-12.1207002347612	5.44561296082376e-06	0.00414955707614771	0.0256564077756938	outlier
Samp17	ENSG00000121454.5	762	17	53.7917022000659	-11.4458886297503	1.06933486663413e-05	0.00814833168375208	0.0390978332850739	outlier
Samp26	ENSG00000121454.5	762	13	32.2402025839926	-6.11342868041717	0.00221295029103706	1	1	outlier
Samp36	ENSG00000121454.5	762	17	46.299586183829	-8.7685067979534	0.000155555683382412	0.118533430737398	0.265913492848942	outlier
Samp39	ENSG00000121454.5	762	17	42.4356888660434	-7.45240255408619	0.000580046344047248	0.441995314164003	0.718242385516505	outlier
Samp41	ENSG00000121454.5	762	19	57.3102581314383	-11.4906243748014	1.02255161836469e-05	0.00779184333193893	0.0381331720433442	outlier
Samp50	ENSG00000121454.5	762	14	43.3869289732157	-9.50768596638818	7.42787264871206e-05	0.0566003895831859	0.158631593579234	outlier
Samp53	ENSG00000121454.5	762	16	39.1342256751579	-6.86840873403922	0.00104013087329506	0.792579725450838	1	outlier
Samp57	ENSG00000121454.5	762	20	53.2638295576844	-9.50713131473611	7.43199367330894e-05	0.0566317917906141	0.158631593579234	outlier
Samp62	ENSG00000121454.5	762	15	34.7960111032192	-5.94120342252636	0.00262886411236341	1	1	outlier
Samp72	ENSG00000121454.5	762	12	33.1738202495948	-7.00277356058761	0.000909356309822977	0.692929508085108	0.959877761199863	outlier
Samp75	ENSG00000121454.5	762	16	55.3071307065297	-12.6631242717213	3.16573826108646e-06	0.00241229255494788	0.0172258073994166	outlier
Samp89	ENSG00000121454.5	762	20	42.1161608501794	-5.92538889862461	0.00267076882488423	1	1	outlier
Samp90	ENSG00000121454.5	762	17	40.2167182394474	-6.72034631963389	0.00120612043843162	0.919063774084895	1	outlier
Samp92	ENSG00000121454.5	762	17	43.794285764576	-7.90946499348728	0.000367251009726989	0.279845269411966	0.521623351440686	outlier
